Time(sec),ATP_C_8_ratio,ATP_C_16_ratio,ATP_C_25_ratio,ATP_M_25_ratio
0,1,1,1,1
10,1,1,1,1
20,1,1,1,1.0953
30,1,1.0124,1.033,1.1584
40,1.0076,1.0471,1.0723,1.1754
45,1.0165,1.0817,1.1076,1.1809
50,1.0224,1.0964,1.1271,1.1826
55,1.0322,1.1092,1.1386,1.1844
60,1.0401,1.1139,1.145,1.188
65,1.0398,1.1184,1.1492,1.1841
70,1.0446,1.1256,1.1545,1.1819
75,1.0463,1.1108,1.159,1.1798
80,1.05,1.1319,1.1508,1.1757
85,1.0538,1.1329,1.1564,1.1833
90,1.0574,1.1375,1.1604,1.1792
95,1.0654,1.134,1.1662,1.1752
100,1.0611,1.1387,1.1635,1.1789
