Time (min),Constant,Time (sec),NADH at 20 mM relative to 3mM glucose,NADH at 10 mM relative to 3mM glucose,NADH at 8 mM relative to 3mM glucose
0,60,0,1,1,1
0.5,,30,1.004,1.002,1.006
1,,60,1.004,1.002,1.01
1.5,,90,1.08,1.05,1.06
1.75,,105,1.13,1.09,1.063
2,,120,1.2,1.13,1.05
2.25,,135,1.24,1.135,1.058
2.5,,150,1.26,1.14,1.067
2.75,,165,1.28,1.15,1.069
3,,180,1.29,1.16,1.07
3.25,,195,1.3,1.17,1.075
3.5,,210,1.28,1.18,1.08
3.75,,225,1.25,1.19,1.083
4,,240,1.26,1.196,1.09
4.5,,270,1.27,1.186,1.094
5,,300,1.3,1.19,1.106
5.25,,315,1.27,1.18,1.108
5.5,,330,1.26,1.176,1.11
5.75,,345,1.25,1.18,1.112
6,,360,1.265,1.2,1.113
6.25,,375,1.28,1.18,1.1114
6.5,,390,1.3,1.16,1.113
6.75,,405,1.28,1.18,1.117
7,,420,1.27,1.171,1.115
7.25,,435,1.25,1.16,1.119
7.5,,450,1.26,1.17,1.118
7.75,,465,1.28,1.18,1.124
8,,480,1.295,1.17,1.127
8.25,,495,1.31,1.156,1.12
8.5,,510,1.26,1.16,1.124
8.75,,525,1.27,1.175,1.122
9,,540,1.25,1.15,1.124
9.25,,555,1.28,1.143,1.125
9.5,,570,1.3,1.15,1.1251
9.75,,585,1.27,1.16,1.129
10,,600,1.26,1.155,1.125
