parameters,Values,Cost
AKT,4.4452157041134885,1.3350360310704277
AKTp,3.291150743655249,1.3350360310704277
GSK3,3.672390659307811,1.3350360310704277
GSK3p,3.9113233010515605,1.3350360310704277
JNK,4.507175594609912,1.3350360310704277
JNKp,1.8066479919007732,1.3350360310704277
p38,4.834420780507421,1.3350360310704277
p38p,3.7169112135724656,1.3350360310704277
FOXO1,3.7175825949597927,1.3350360310704277
FOXO1p,3.746715810523885,1.3350360310704277
PDX1,3.280208817949999,1.3350360310704277
MAFA,3.313119468357427,1.3350360310704277
k_AKT,4.209373939658297,1.3350360310704277
k_AKTp,0.48763020461507894,1.3350360310704277
k_AKT_JNK,0.23019864416305924,1.3350360310704277
k_GSK3,0.20752346975510041,1.3350360310704277
k_GSK3p,0.6579821327579265,1.3350360310704277
k_JNK_ROS,4.3593324354773575,1.3350360310704277
k_JNK_upr,4.5953982581720805,1.3350360310704277
k_p38_ROS,4.663417066195277,1.3350360310704277
k_p38_upr,5.46884982148297,1.3350360310704277
k_MAPKp,1.9170298452434622,1.3350360310704277
k_FOXO1_AKTp,1.4710657581856865,1.3350360310704277
k_FOXO1p_MAPKp,0.904886001185996,1.3350360310704277
V_mPDX1,1.6454178605313976,1.3350360310704277
K_MAFA_PDX1,1.8821881937144256,1.3350360310704277
K_FOXO1_PDX1,4.203223310757408,1.3350360310704277
k_PDX1_FOXO1_efflux,0.1903547164821652,1.3350360310704277
k_GSK3_PDX1_pdeg,0.08786297031133863,1.3350360310704277
V_mMAFA,1.4580651032373986,1.3350360310704277
K_PDX1_MAFA,2.984728212372596,1.3350360310704277
K_FOXO1_MAFA,0.4746876384682769,1.3350360310704277
k_ROS_MAFA,0.046544531301874144,1.3350360310704277
k_GSK3_MAFA_pdeg,0.006861422515693872,1.3350360310704277
V_mINS,0.7771011328955751,1.3350360310704277
K_PDX1_INS,1.0031679566117213,1.3350360310704277
K_MAFA_INS,2.4896038800507365,1.3350360310704277
